"Date","Open","High","Low","Close","Volume","OpenInt"
01/15/1992,65.35,65.35,65.35,65.35,0,0
01/16/1992,64.75,64.75,64.75,64.75,0,0
01/17/1992,64.9,64.9,64.9,64.9,0,0
01/20/1992,65.15,65.15,65.15,65.15,0,0
01/21/1992,65.03,65.03,65.03,65.03,0,0
01/22/1992,65,65,65,65,0,0
01/23/1992,65,65,65,65,0,0
01/24/1992,64.82,64.82,64.82,64.82,0,0
01/27/1992,63.75,63.75,63.75,63.75,0,0
01/28/1992,62.95,62.95,62.95,62.95,0,0
01/29/1992,62.9,62.9,62.9,62.9,0,0
01/30/1992,62.65,62.65,62.65,62.65,0,0
01/31/1992,63,63,62.5,62.5,2,2
02/03/1992,62.8,62.8,62.8,62.8,0,2
02/04/1992,64.2,64.2,64.2,64.2,0,2
02/05/1992,63.75,63.75,63.75,63.75,0,2
02/06/1992,63.5,63.5,63.5,63.5,0,2
02/07/1992,63.6,63.6,63.6,63.6,0,2
02/10/1992,63.13,63.13,63.13,63.13,0,2
02/11/1992,62.2,62.2,62.2,62.2,0,2
02/12/1992,63.13,63.13,63.13,63.13,0,2
02/13/1992,62.13,62.13,62.13,62.13,0,2
02/14/1992,62.3,62.3,62.3,62.3,0,2
02/18/1992,62.25,62.25,62.25,62.25,0,2
02/19/1992,62.6,62.6,62.6,62.6,0,2
02/20/1992,62.3,62.3,62.3,62.3,0,2
02/21/1992,61.85,61.85,61.85,61.85,0,2
02/24/1992,62.38,62.38,62.38,62.38,0,2
02/25/1992,62.85,62.85,62.85,62.85,0,2
02/26/1992,63.35,63.35,63.35,63.35,0,2
02/27/1992,63.13,63.13,63.13,63.13,0,2
02/28/1992,63.55,63.55,63.55,63.55,0,2
03/02/1992,64.25,64.25,64.25,64.25,0,2
03/03/1992,64.25,64.25,64.25,64.25,0,2
03/04/1992,63.5,63.5,63.5,63.5,0,2
03/05/1992,62.9,62.9,62.9,62.9,0,2
03/06/1992,61.95,61.95,61.95,61.95,0,2
03/09/1992,62.2,62.2,62.2,62.2,20,21
03/10/1992,61.87,61.87,61.87,61.87,0,21
03/11/1992,61.6,61.8,61.45,61.45,9,29
03/12/1992,61,61.85,61,61.85,1,31
