"Date","Volume","OpenInt"
06/10/1999,8,8
06/11/1999,1,8
06/14/1999,1,8
06/15/1999,1,8
06/16/1999,1,8
06/17/1999,1,8
06/18/1999,1,8
06/21/1999,1,8
06/22/1999,1,8
06/23/1999,1,8
06/24/1999,1,8
06/25/1999,1,8
06/28/1999,5,13
06/29/1999,3,16
06/30/1999,20,17
07/01/1999,8,25
07/06/1999,0,25
07/07/1999,0,25
07/08/1999,0,25
07/09/1999,0,25
07/12/1999,0,25
07/13/1999,0,25
07/14/1999,0,25
07/15/1999,0,25
07/16/1999,0,25
07/19/1999,0,25
07/20/1999,0,25
07/21/1999,0,25
07/22/1999,0,25
07/23/1999,0,25
07/26/1999,0,25
07/27/1999,0,25
07/28/1999,0,25
07/29/1999,0,25
07/30/1999,0,25
08/02/1999,0,25
08/03/1999,0,25
08/04/1999,0,25
08/05/1999,0,25
08/06/1999,0,25
08/09/1999,0,25
08/10/1999,3,28
08/11/1999,0,28
08/12/1999,2,26
08/13/1999,1,26
08/16/1999,0,26
08/17/1999,0,26
08/18/1999,0,26
08/19/1999,0,26
08/20/1999,0,26
08/23/1999,0,26
08/24/1999,0,26
08/25/1999,0,26
08/26/1999,0,26
08/27/1999,0,26
08/30/1999,0,26
08/31/1999,0,26
09/01/1999,1,27
09/02/1999,0,27
09/03/1999,3,30
09/07/1999,3,27
09/08/1999,0,27
09/09/1999,1,28
09/10/1999,4,28
09/13/1999,1,28
09/14/1999,1,29
09/15/1999,0,29
09/16/1999,0,29
09/17/1999,3,29
09/20/1999,3,32
09/21/1999,2,32
09/22/1999,4,34
09/23/1999,0,34
09/24/1999,1,31
09/27/1999,1,32
09/28/1999,4,36
09/29/1999,1,37
09/30/1999,1,36
10/01/1999,7,40
10/04/1999,2,40
10/05/1999,9,38
10/06/1999,2,37
10/07/1999,2,37
10/08/1999,0,35
10/12/1999,38,56
10/13/1999,150,131
10/14/1999,70,121
10/15/1999,99,160
10/18/1999,12,160
10/19/1999,52,138
10/20/1999,10,139
10/21/1999,2,133
10/22/1999,45,141
10/25/1999,9,140
10/26/1999,41,160
10/27/1999,20,158
10/28/1999,15,156
10/29/1999,57,194
11/01/1999,8,198
11/02/1999,9,198
11/03/1999,158,266
11/04/1999,73,307
11/05/1999,19,318
11/08/1999,31,328
11/09/1999,52,345
11/10/1999,64,358
11/12/1999,146,380
11/15/1999,47,402
11/16/1999,39,411
11/17/1999,81,416
11/18/1999,114,440
11/19/1999,64,449
11/22/1999,50,466
11/23/1999,266,485
11/24/1999,292,753
11/26/1999,234,849
11/29/1999,910,1052
11/30/1999,4334,4994
12/01/1999,1142,5464
12/02/1999,18398,20473
12/03/1999,5428,24933
12/06/1999,18179,29296
12/07/1999,15720,31542
12/08/1999,14462,39571
12/09/1999,15598,44975
12/10/1999,16165,46449
12/13/1999,13995,45314
12/14/1999,13553,46046
12/15/1999,8129,43487
12/16/1999,7885,43207
12/17/1999,8045,44595
12/20/1999,4407,43623
12/21/1999,3452,43656
12/22/1999,3747,43537
12/23/1999,5539,42525
12/27/1999,3677,42745
12/28/1999,6764,44660
12/29/1999,4676,44415
12/30/1999,2744,43589
12/31/1999,2186,0
01/03/2000,26770,44318
01/04/2000,17817,43097
01/05/2000,14616,44555
01/06/2000,14480,46950
01/07/2000,11068,44226
01/10/2000,8336,45795
01/11/2000,12845,49593
01/12/2000,17195,54805
01/13/2000,11548,54922
01/14/2000,27912,56970
01/18/2000,28827,57275
01/19/2000,8234,57953
01/20/2000,11166,58283
01/21/2000,14194,61706
01/24/2000,22106,59696
01/25/2000,9347,60642
01/26/2000,4858,59583
01/27/2000,20842,66130
01/28/2000,21131,70646
01/31/2000,7401,69285
02/01/2000,8241,68152
02/02/2000,13005,72215
02/03/2000,23076,72440
02/04/2000,21021,69118
02/07/2000,5856,69118
02/08/2000,10783,70544
02/09/2000,11902,69126
02/10/2000,14164,72026
02/11/2000,9898,70524
02/14/2000,13158,71344
02/15/2000,14280,69136
02/16/2000,8933,68554
02/17/2000,22752,68739
02/18/2000,7317,68055
02/22/2000,29649,67502
02/23/2000,13418,68558
02/24/2000,16614,67400
02/25/2000,21404,67995
02/28/2000,18003,69110
02/29/2000,11134,67964
03/01/2000,6585,67233
03/02/2000,9552,67399
03/03/2000,8247,65244
03/06/2000,13731,57959
03/07/2000,5987,56289
03/08/2000,18413,41630
03/09/2000,13861,39129
03/10/2000,6833,30591
03/13/2000,1441,29411
